adgroup_id,cate_id,campaign_id,customer,brand,price
63133,6406,83237,1,95471.0,170.0
313401,6406,83237,1,87331.0,199.0
248909,392,83237,1,32233.0,38.0
208458,392,83237,1,174374.0,139.0
110847,7211,135256,2,145952.0,32.99
607788,6261,387991,6,207800.0,199.0
11115,7213,139747,9,186847.0,33.0
24484,7207,139744,9,186847.0,19.0
590965,4284,28145,14,454237.0,249.0
639794,6261,70206,14,37004.0,89.9
794890,4284,70206,14,454237.0,249.0
684020,6261,70206,14,37004.0,99.0
419844,5515,28145,14,247861.0,75.0
279841,917,8184,15,57034.0,1.88
74914,8863,177913,19,83039.0,10.0
73381,6159,177913,19,376948.0,12.5
150738,7395,177913,19,432071.0,21.0
35032,6261,83264,20,457502.0,668.0
592998,8993,83266,21,72959.0,48.0
631409,6181,83266,21,72959.0,368.0
62924,10956,83271,24,417253.0,11.5
8451,1652,83271,24,278112.0,15.0
401736,5285,289503,34,164272.0,76.0
401735,10479,289503,34,164272.0,698.0
384495,5285,289503,34,164272.0,94.0
370209,10479,289503,34,164272.0,450.0
380685,10479,289503,34,383766.0,360.0
57396,6564,137334,39,125151.0,39.0
469820,4613,83298,42,375268.0,10.0
232298,4613,83298,42,400172.0,20.0
7459,4613,83298,42,400172.0,360.0
196498,4613,83298,42,400172.0,266.0
217341,4613,83298,42,400172.0,198.0
297127,6955,318659,46,108957.0,1185.0
401889,4284,318659,46,255785.0,369.0
405701,8111,318659,46,108957.0,50.0
422973,4284,318659,46,255785.0,399.0
422974,4284,318659,46,255785.0,429.0
405615,6261,318659,46,108957.0,499.0
401811,6261,318659,46,108957.0,599.0
405616,6261,318659,46,301254.0,699.0
389425,4281,318659,46,255785.0,50.0
576558,4284,83308,47,74078.0,110.0
51535,4284,83308,47,74078.0,98.0
376383,4284,83308,47,74078.0,98.0
3681,5199,408101,51,97566.0,65.0
58881,7209,155966,54,349743.0,1600.0
141629,7209,155966,54,310550.0,600.0
686089,6937,404062,59,115491.0,799.0
414843,6937,309598,59,63272.0,499.0
785062,6937,83339,59,115491.0,799.0
597103,6937,319166,59,125038.0,699.0
832820,4292,162111,60,295193.0,276.0
783981,4292,162111,60,295193.0,276.0
832945,4292,162111,60,295193.0,158.0
754747,4292,162111,60,295193.0,296.0
231961,12,83349,63,114512.0,349.0
208158,12,83349,63,114512.0,359.0
273414,12,83349,63,58175.0,190.0
263507,8929,205399,69,406808.0,58.0
2892,6800,205399,69,434904.0,17.4
40010,7822,77444,69,406808.0,68.0
157414,5363,17759,71,370950.0,70.0
8297,5874,13914,72,193697.0,90.0
110394,4833,13914,72,409312.0,90.0
8331,10885,13914,72,205431.0,138.0
447611,6286,328771,74,128191.0,98.0
132699,11740,53083,76,431543.0,90.0
61150,4752,149478,76,279313.0,9.9
423789,4517,52444,76,27392.0,65.0
287114,124,412918,76,115071.0,115.0
187993,4834,400028,76,86404.0,156.0
76672,4752,149478,76,230045.0,14.0
9147,999,83406,83,293565.0,7.5
44379,999,83406,83,36281.0,10.5
3868,999,83406,83,293565.0,6.99
253325,999,248814,83,293565.0,13.8
7280,565,83406,83,293565.0,3.5
59461,999,135894,83,252972.0,4.5
133953,999,214896,83,293565.0,5.5
380207,999,248814,83,237452.0,10.9
219014,999,136017,83,293565.0,5.8
58948,999,135894,83,293565.0,3.99
104576,999,214896,83,36281.0,4.99
4595,999,83406,83,293565.0,6.9
525594,565,83406,83,337747.0,15.0
164079,999,248814,83,293565.0,7.5
264643,6167,137820,85,233681.0,20.0
173724,6167,83409,85,233681.0,29.9
331966,6167,137820,85,233681.0,16.9
64297,317,138165,92,75603.0,27.6
373632,5408,83425,96,45065.0,3.8
373601,9113,83425,96,229657.0,3.9
452796,1478,83433,98,938.0,238.0
181318,10259,138542,99,254457.0,259.0
279922,10259,138543,99,14966.0,536.0
4363,10259,416922,99,254457.0,529.0
464652,6426,139433,101,413274.0,138.0
506436,4280,133567,103,127082.0,149.0
290882,4280,133567,103,127082.0,149.0
286425,4280,133567,103,127082.0,79.0
264579,8654,91176,104,428798.0,15.0
262771,8055,91176,104,428798.0,32.0
262784,8654,91176,104,428798.0,18.0
110011,8055,137674,104,428798.0,11.0
259495,8055,91176,104,428798.0,32.0
262795,8055,91176,104,428798.0,15.0
271021,8055,91176,104,428798.0,14.0
270992,8055,91176,104,428798.0,16.0
264569,8055,91176,104,428798.0,15.0
271022,8055,91176,104,428798.0,15.0
262812,8055,91176,104,428798.0,8.0
262826,10673,91176,104,428798.0,12.0
262770,8055,91176,104,428798.0,8.0
259521,8055,91176,104,428798.0,16.0
38523,8055,137674,104,428798.0,12.0
510798,9494,130135,106,268926.0,458.0
513331,9494,130135,106,268926.0,825.0
500798,9447,356319,106,268926.0,4890.0
470356,6158,257239,108,168998.0,298.0
267745,1681,123817,112,249268.0,12.8
412644,2486,123817,112,207241.0,19.6
371235,11186,123817,112,28741.0,25.6
356019,6593,123817,112,28741.0,10.8
358690,2470,123817,112,39682.0,10.0
467362,6539,123817,112,249195.0,39.8
360198,2470,123817,112,332560.0,99.8
356419,6113,123817,112,39682.0,10.5
428690,12159,123817,112,318367.0,33.6
392898,6097,123817,112,345805.0,12.8
353902,6539,123817,112,14328.0,51.6
369610,2135,123817,112,291541.0,18.8
324201,2481,123817,112,366981.0,28.8
400824,2483,123817,112,88237.0,16.8
416144,1657,123817,112,431270.0,19.6
28150,231,64308,114,81364.0,59.0
311035,6412,135441,114,131242.0,199.0
313848,6408,135441,114,105776.0,185.0
266446,10078,169934,116,243661.0,34.4
272743,7041,169934,116,243661.0,4.0
266913,7036,169934,116,243661.0,15.6
279350,7036,169934,116,266120.0,4.0
424554,5499,84871,117,303067.0,2499.99
748559,6885,84871,117,303068.0,3400.0
158765,6885,175634,117,303068.0,3400.0
431029,6885,84871,117,303067.0,1050.0
778961,7066,84871,117,303067.0,2999.99
448261,7066,84871,117,303067.0,1000.0
662690,6554,105506,118,439026.0,49.0
10674,9115,83509,124,286233.0,13.9
412053,6300,328242,128,18595.0,96.0
522251,4589,83525,129,38545.0,120.0
465477,4589,83525,129,361622.0,95.0
440625,4589,83525,129,229368.0,230.0
538668,8879,65221,130,163794.0,20.8
538629,6730,65221,130,163794.0,11.9
538700,1044,65221,130,163794.0,12.8
538744,5510,65221,130,289287.0,30.0
538785,5510,65221,130,270147.0,32.0
568733,1044,65221,130,163794.0,13.5
538749,5510,65221,130,304557.0,24.0
568647,5510,65221,130,247789.0,32.0
568679,1044,65221,130,163794.0,10.9
538702,8879,65221,130,158841.0,14.8
568646,12390,65221,130,158841.0,29.0
303683,6154,388017,131,115870.0,240.0
723665,6427,83537,133,242570.0,168.0
171574,9784,83544,135,374805.0,58.0
132128,9784,83544,135,374805.0,108.0
132075,9784,83544,135,250810.0,98.0
141623,4532,83544,135,250810.0,38.0
156370,9784,83544,135,270461.0,48.0
430474,4292,195410,137,218331.0,2980.0
300460,5959,195410,137,218331.0,5268.0
398497,5959,195410,137,218331.0,3100.0
674278,6736,195410,137,218331.0,1280.0
637636,4280,1843,138,417476.0,238.0
695111,6261,1843,138,417476.0,258.0
311247,4284,102449,138,417476.0,189.0
602676,4520,110823,138,417476.0,189.0
593399,4280,1843,138,417476.0,198.0
687766,4521,1843,138,417476.0,138.0
679091,1665,1843,138,417476.0,458.0
739428,6261,1843,138,417476.0,248.0
144109,4282,416238,138,417476.0,339.0
172236,4280,416238,138,417476.0,379.0
442263,6261,1843,138,417476.0,389.0
537796,4521,414353,138,417476.0,249.0
575043,4520,135550,138,417476.0,189.0
824898,4284,414353,138,417476.0,179.0
175921,6261,416238,138,417476.0,299.0
540800,4282,414353,138,417476.0,228.0
694315,4280,414353,138,417476.0,349.0
603338,1665,1843,138,417476.0,228.0
583890,4521,414353,138,417476.0,289.0
825854,6261,414353,138,417476.0,308.0
825650,6261,1843,138,417476.0,368.0
561558,4280,362021,138,417476.0,329.0
583576,4284,414353,138,417476.0,249.0
595898,549,374524,139,334864.0,49.0
596058,549,363826,139,334864.0,49.0
607292,5539,135950,143,232147.0,159.0
697107,7980,404775,145,360964.0,78.0
389284,7980,138595,145,360964.0,45.0
557318,7980,404775,145,360964.0,45.0
101119,4312,83600,149,38.0,32.0
590287,4292,112931,160,79323.0,228.0
381457,6818,83648,162,350449.0,1680.0
97846,9495,252225,163,261078.0,198.0
88053,9495,252225,163,261078.0,258.0
424834,2340,401758,163,261078.0,2398.0
83683,11017,164040,165,266288.0,220.0
80984,5882,83668,165,266288.0,36.0
269374,5882,83668,165,266288.0,25.0
65250,11017,164040,165,266288.0,150.0
65229,11017,164040,165,266288.0,150.0
158415,11017,164040,165,266288.0,125.0
66197,11017,164040,165,266288.0,125.0
580214,5882,353177,165,266288.0,35.0
251993,11017,164040,165,266288.0,1100.0
85227,11017,164040,165,266288.0,328.0
98721,11017,164040,165,266288.0,150.0
276227,5882,83668,165,266288.0,38.0
46035,5882,83668,165,266288.0,25.0
46333,5882,83668,165,266288.0,35.0
398372,5769,407039,168,255735.0,238.0
275818,830,414227,171,315066.0,198.0
239567,10701,83684,172,271950.0,86.0
97025,2401,137119,173,248402.0,55.0
138953,11156,137119,173,183367.0,26.0
467512,11156,137119,173,183367.0,49.9
204797,4541,202499,175,109700.0,2136.0
628997,4541,388283,175,109700.0,2198.0
112600,6423,83745,184,387521.0,24.1
72479,6806,83745,184,196090.0,12.5
353420,1535,83797,190,114174.0,199.0
811307,11932,136852,196,257529.0,599.0
687849,2228,367656,207,452741.0,520.0
311138,7214,83927,214,318112.0,19.99
302220,7214,83927,214,5629.0,19.99
96671,4384,98180,215,247789.0,45.0
367140,4384,213685,215,247789.0,58.0
426573,4384,98180,215,247789.0,39.0
95527,4384,98180,215,247789.0,28.0
423801,6512,102355,216,172539.0,258.0
440327,6509,388820,216,172539.0,248.0
314394,6338,83944,221,400361.0,15.8
471404,6511,89893,225,445005.0,54.0
700515,6554,89893,225,445005.0,19.99
730635,7146,89893,225,445005.0,22.0
604430,856,89893,225,445005.0,39.99
620079,7146,89893,225,445005.0,39.0
491848,7146,89893,225,445005.0,55.0
574204,856,89893,225,445005.0,58.0
700796,5510,89893,225,445005.0,22.2
558897,856,89893,225,445005.0,55.0
578728,7146,83979,225,445005.0,17.0
491734,6182,89893,225,445005.0,33.0
581823,6952,245631,225,445005.0,25.0
558978,856,89893,225,445005.0,53.0
709127,6952,245631,225,445005.0,35.0
573918,122,89893,225,445005.0,33.0
574024,856,89893,225,445005.0,49.99
573969,6511,89893,225,445005.0,49.99
574147,856,89893,225,445005.0,47.0
558730,6183,89893,225,445005.0,33.0
574194,6181,89893,225,445005.0,44.0
676587,6952,89893,225,445005.0,45.0
451041,7146,89893,225,445005.0,49.99
558848,7146,89893,225,445005.0,22.0
813961,6183,83979,225,445005.0,36.0
591035,6183,89893,225,445005.0,86.0
574019,856,89893,225,445005.0,39.99
574021,6554,89893,225,445005.0,19.99
574344,6511,89893,225,445005.0,59.99
574253,856,89893,225,445005.0,55.0
821735,7146,245631,225,445005.0,38.0
619942,6181,89893,225,445005.0,45.0
700797,856,89893,225,445005.0,59.99
620033,7146,89893,225,445005.0,17.0
558653,6183,89893,225,445005.0,37.0
491996,5410,89893,225,445005.0,4.9
757175,856,89893,225,445005.0,59.99
558656,7146,89893,225,445005.0,18.0
471378,6182,89893,225,445005.0,44.0
620207,6185,89893,225,445005.0,38.0
627797,7146,245631,225,445005.0,17.0
620141,856,89893,225,445005.0,49.0
700510,5510,89893,225,445005.0,9.99
491805,6952,89893,225,445005.0,44.0
676518,856,89893,225,445005.0,64.0
573917,122,89893,225,445005.0,37.0
534166,122,182072,225,445005.0,34.0
591243,6952,89893,225,445005.0,13.8
645784,856,89893,225,445005.0,65.0
10391,932,158289,226,137786.0,4.0
65138,932,83983,226,137786.0,12.0
513514,8572,84021,232,434118.0,1.5
684300,7276,136526,232,425589.0,8.0
